"M","env.effect","f.i.wt"
"CSPMDDH",0,0
"CTBTabc",0,0
"CTBTabcpp",0,0
"CTBTCAL2",0,0
"CTBTt2rpp",0,0
"CTECOAI6",0,0
"CTECOAI7",0.0094057657,-0.00586114698576704
"CTECOAI8",0,0
"CTPS1",0.0067200094,0.00418732354798865
"CU1abcpp",0,0
"CU1Opp",0,0
"CU2abcpp",1e-11,0
"CU2abcu_syn",0,0
"Cuabc",0,0
"CUabcpp",0,0
"Cut1",0,0
"CUt3",0,0
"CYANST",0,0
"CYANSTpp",0,0
"CYNTAH",9.8e-10,0
"CYNTt2",0,0
"CYNTt2pp",0,0
"CYO1a",0,0
"CYO1b",0,0
"CYO1b2pp_syn",0,0
"CYO1b2_syn",0,0
"CYO1bpp_syn",0,0
"CYO1b_syn",0,0
"CYO1_KT",0,0
"CYOO2pp",0,0
"CYOO3",0,0
"CYOO_HP",1e-11,0
"CYOR3m",0,0
"CYPHYC",0,0
"CYPHYS",0,0
"CYRDAAT",1.12e-10,0
"CYRDAR",0,0
"CYRDAR2",0,0
"CYRDAS",0,0
"CYS",0.0103866357,0.00647197122323299
"CYSabc",0,0
"CYSabc2pp",0,0
"CYSabcpp",0,0
"CYSDabcpp",0,0
"CYSDDS",0,0
"CYSDS",0,0
"CYSDSF",0,0
"CYSGLYt2ir",0,0
"CYSIabcpp",0,0
"CYSLY3",0,0
"CYSS2",0,0
"CYSS_2",0.0025913198,0.00161470515608333
"CYSSADS",0,0
"CYSt2r",0,0
"CYSTA",0,0
"CYSTabc",0,0
"CYSTAi",0,0
"CYSTGL",0,0
"CYSTGL_1",0,0
"CYSTL_1",0,0
"CYStpp",0,0
"CYSTRS",0,0
"CYSTS",0,0
"CYSTS_2",0,0
"CYTB_B2",0,0
"CYTB_B3",0,0
"CYTBCYTC",0,0
"CYTBD",0,0
"CYTBD2",0,0
"CYTBD2pp",0,0
"CYTBDpp",1e-11,0
"CYTBDpp_1",0,0
"CYTBDu",0,0
"CYTBMQOR2pp",0,0
"CYTBO3",0,0
"CYTBO3_4pp",0,0
"CYTD",0,0
"CYTDH",0,0
"CYTDK1",0,0
"CYTDK2",0,0
"CYTDt2",0,0
"CYTDt2pp_copy1",1e-11,0
"CYTDt2pp_copy2",1e-11,0
"CYTDt4",0,0
"CYTK1",0.0225439744,-0.0140487188245475
"CYTK2",0,0
"CYTK2_1",0,0
"CYTMQOR3pp",0,0
"CYTOM",0,0
"D4DGCD",0,0
"D5KGI",0,0
"D5KGK",1e-11,0
"D5KGPA",0,0
"DAAD",0,0
"DAAOP",0,0
"DABAAT",0,0
"DACTt3",0,0
"DADA",0,0
"DADK",1e-11,0
"DADNC",0,0
"DADNK",0,0
"DADNt2",1e-11,0
"DADNt2pp",0,0
"DAGK120",0,0
"DAGK140",0,0
"DAGK141",0,0
"DAGK160",0,0
"DAGK161",0,0
"DAGK180",0,0
"DAGK181",0,0
"DAGK_BS",0,0
"DAGK_EC",0,0
"DAGK_HP",0,0
"DAGK_SA",0,0
"DALAOX",0,0
"DALAt2pp",0.0049795287,-0.000273852292398921
"DALAt2r",0,0
"DAPabc",3.72e-10,0
"DAPabcpp",0,0
"DAPAL",0,0
"DAPAT",0,0
"DAPDA",0,0
"DAPDH",0.0155651906,0.00969860145101236
"DAPNH4T",0.0155651906,0.00969860145101236
"DAPtex",0,0
"DARBabcpp",0,0
"DARBt2rpp",0,0
"DARBt3ipp",0,0
"DASYN120",0,0
"DASYN140",0,0
"DASYN141",0,0
"DASYN160190",0,0
"DASYN180",0,0
"DASYN181",0,0
"DASYN181_9",0,0
"DASYN182_9_12",0,0
"DASYN183_6_9_12",0,0
"DASYN183_9_12_15",0,0
"DASYN184_6_9_12_15",1.31e-10,0
"DASYN190190",0,0
"DASYN_EC",0,0
"DASYN_HP",0,0
"DASYN_SA",0,0
"DATPHs",0,0
"DC6PH",0,0
"DCMPDA",0,0
"DCPDP",0,0
"DCPDPP",0,0
"DCPDPP2",0,0
"DCPDPS",0,0
"DCPE",0,0
"DCPT",0,0
"DCPT2",0,0
"DCTPD",0,0
"DCTPD2",0,0
"DCYTD",0,0
"DCYTt2",0,0
"DCYTt2pp",0,0
"DDCAt2pp",0,0
"DDGALK",0,0
"DDGLCNt2r",0,0
"DDGLCNt2rpp",0,0
"DDGLK",0,0
"DDPGA",0,0
"DDPGALA",0,0
"DES_12",0,0
"DES_15",0,0
"DES_6",0,0
"DES_6B",0,0
"DES_9",1.19e-10,0
"DESAT16",0,0
"DESAT18",0,0
"DEXTRINt2",0,0
"DGC3D",0,0
"DGDG160",0,0
"DGDG161",0,0
"DGDG180",0,0
"DGDG181",0,0
"DGDG181_9",0,0
"DGDG182_9_12",0,0
"DGDG183_6_9_12",0,0
"DGDG183_9_12_15",0,0
"DGDG184_6_9_12_15",0,0
"DGGGPS",0,0
"DGGGPS2",0,0
"DGGPGP",0,0
"DGGPGP2",0,0
"DGK1",0,0
"DGNSK",0,0
"DGSNt2",0,0
"DGSNt2pp",0,0
"DGUNC",0,0
"DH3MCHCDH",0,0
"DH4MCHCDH",0,0
"DHACOAH",0,0
"DHAD3",0,0
"DHAK",0,0
"DHAPT",0,0
"DHAt",0,0
"DHAtpp",0,0
"DHBD",0,0
"DHBS",1e-11,0
"DHBSH",0,0
"DHBSH_1",0,0
"DHBSZ3FEabcpp",0,0
"DHBSZ3FEexs",0,0
"DHBSZ3FEtonex",0,0
"DHBSZ3tex",0,0
"DHBZS2H",0,0
"DHBZS3H",0,0
"DHCIND",0,0
"DHCINDO",0,0
"DHCINDO_1",0,0
"DHDPRx_r",0.0077666083,0.00483945684152401
"DHEDAA",0,0
"DHFOR2",0,0
"DHFS_1",6.99e-06,0
"DHMPTR",0,0
"DHNAOT",0,0
"DHNAOT2",0,0
"DHNAOT4",0,0
"DHNAOT7",0,0
"DHNAPHT",0,0
"DHNAS",0,0
"DHNCOAS",0,0
"DHNCOAT",0,0
"DHNPA",0,0
"DHNPA_1",0,0
"DHNPTE",0,0
"DHORD2",0,0
"DHORD5",0,0
"DHORD7",0,0
"DHORDfum",0,0
"DHORDi",0.1249467171,0.0129909836254802
"DHORD_NAD",0.1228804266,0.0151699248824659
"DHPACCOAHIT",0,0
"DHPCPH",0,0
"DHPDO",3.98e-10,0
"DHPM1",0,0
"DHPM2",0,0
"DHPPD",0,0
"DHPPDA",0,0
"DHPR",0,0
"DHPS",0,0
"DHPS2_1",0,0
"DHPS3",0,0
"DHPTDCs",0,0
"DHPTPE",0,0
"DHQS2",0,0
"DHSKDH",0,0
"DHXFUTC",0,0
"DINSK",7.56e-10,0
"DINSt2",0,0
"DINSt2pp",0,0
"DIPEPabc1",0,0
"DIPEPabc10",0,0
"DIPEPabc11",0,0
"DIPEPabc12",0,0
"DIPEPabc13",0,0
"DIPEPabc14",0,0
"DIPEPabc15",0,0
"DIPEPabc2",0,0
"DIPEPabc3",0,0
"DIPEPabc4",0,0
"DIPEPabc5",0,0
"DIPEPabc6",0,0
"DIPEPabc7",0,0
"DIPEPabc8",0,0
"DIPEPabc9",0,0
"DIPS",0,0
"DJENKabc",0,0
"DKDH",3.98e-10,0
"DKDID",3.98e-10,0
"DKFPR",0,0
"DKFPS",0,0
"DKFPS2",0,0
"DKGLCNR1",0,0
"DKGLCNR2x",0,0
"DKGLCNR2y",0,0
"DKI",0,0
"DKII",0,0
"DKMD2K",0,0
"DKMD3M",0,0
"DKMPASPL",0,0
"DKMPPD",0,0
"DKMPPD2",0,0
"DKMPPD3",0,0
"D_LACt2",0,0
"D_LACt2pp",0,0
"DLTO",0,0
"DLYSOXGAT",0,0
"DLYSPYRAT",0,0
"DM1PE",0,0
"DMALRED",0,0
"DMAMT",0,0
"DMAt",0,0
"DMATT2",0,0
"DMBZIDS",0,0
"DMGDH",0,0
"DMHDRFS",0,0
"DMPPS",0,0
"DMPPS_syn",0,0
"DMQMT",0,0
"DMSOR1",0,0
"DMSOR1e",0,0
"DMSOR1pp",0,0
"DMSOR2",0,0
"DMSOR2e",0,0
"DMSOR2pp",0,0
"DMSOtpp",0,0
"DMSt",1e-11,0
"DMTPHT",0,0
"DNAMTn2r",0,0
"DOGULNR",0,0
"DOHDUS",0,0
"DOXRBCNtpp",0,0
"DPGase",0,0
"DPGM",0,0
"DPHAPC100",0,0
"DPHAPC120",0,0
"DPHAPC121",0,0
"DPHAPC140",0,0
"DPHAPC141",0,0
"DPHAPC60",0,0
"DPHAPC80",0,0
"DPLPTAT",0,0
"DPMVD",0,0
"DPMVD2",0,0
"DPPS",0,0
"DRBK",0,0
"DRIBabc",0,0
"DRIBtpp",2.1e-09,0
"DROPPRx",2.34e-09,0
"DROPPRy",2.34e-09,0
"DRPA",0,0
"DRTPPD",0,0
"DSBAO1",0,0
"DSBAO2",0,0
"DSBCGT",0,0
"DSBDR",1e-11,0
"DSBGGT",0,0
"DSCLCOCH",2.34e-09,0
"DSERDHr",0,0
"DSERt2",0,0
"DSERt2pp",0,0
"DTARTD",0,0
"DTMPt6",0,0
"DURADx",1.19e-10,0
"DURIK1",0,0
"DURIPP",1.41e-11,0
"DURIt2",0,0
"DURIt2pp",0,0
"DUTPDP",0.0010931198,-0.000681153400010516
"DVOCHR",0,0
"DXYLK",0,0
"DXYLUDtex",0,0
"DXYLUDtpp",0,0
"DYTK2",0,0
"EAR100x",0,0
"EAR100y",0,0
"EAR120x",0,0
"EAR120y",0,0
"EAR121x",0,0
"EAR121y",0,0
"EAR140x",0,0
"EAR140y",0,0
"EAR141x",0,0
"EAR141y",1.99e-09,0
"EAR160x",0,0
"EAR160y",0,0
"EAR161x",3.48e-10,0
"EAR161y",1e-11,0
"EAR180x",1e-11,0
"EAR180y",0,0
"EAR181x",0,0
"EAR181y",0,0
"EAR40x",0,0
"EAR40y",2.67e-10,0
"EAR60x",0,0
"EAR60y",0,0
"EAR80x",0,0
"EAR80y",0,0
"ECA4COLIPAabctex",0,0
"ECA4COLIPAtex",0,0
"ECA4OALpp",0,0
"ECAP1pp",0,0
"ECAP2pp",0,0
"ECAP3pp",0,0
"ECAP_EC",0,0
"ECAtpp",0,0
"ECHH_0",9.04e-14,0
"ECOAH1",0.1230290186,-0.076691956210836
"ECOAH12",0,0
"ECOAH1_2",0,0
"ECOAH2",0.1230290186,-0.076691956210836
"ECOAH2c",0,0
"ECOAH3",0.1230290186,-0.076691956210836
"ECOAH4",0.0736529256,-0.0459055730003584
"ECOAH5",0.052081295,-0.0324584655785175
"ECOAH5_2",0,0
"ECOAH6",0.0414705619,-0.0258447165767701
"ECOAH7",0.0173493037,-0.0108113831464421
"ECOAH8",0,0
"ECOAH9ir",0,0
"ECTOINEabc",0,0
"EDA",0,0
"EDD",0,0
"EDTXS1",0,0
"EDTXS1N",0,0
"EDTXS2",0,0
"EDTXS2N",0,0
"EDTXS3",0,0
"EDTXS4",0,0
"EGLUCe",0,0
"EHGLAT",0,0
"ELCYTI",0,0
"ELCYTO",0,0
"ENLIPAabctex",0,0
"ENLIPAtex",0,0
"ENLIPIDAt1ex",0,0
"ENLIPIDAt2ex",0,0
"ENOPH",0,0
"ENTCS",0,0
"ENTCS_1",0,0
"ENTERES",0,0
"ENTERES2",2.24e-11,0
"ENTERGLCT1",0,0
"ENTERGLCT2",0,0
"ENTERH",0,0
"ENTERHpp",0,0
"ETHAAL",0,0
"ETHAt",NA,0
"ETHAt2pp",0,0
"ETHAt6",0,NA
"ETHSabc",1e-11,0
"ETHSO3abcpp",0,0
"ETOHt",0,0
"ETOHt3",0,0
"F430S1",0,0
"F430S2",0,0
"F430S3",0,0
"F430S4",0,0
"F430S5",0,0
"F4D",0,0
"F4MTSPD",0,0
"F4MTSPR",0,0
"F4NH",0,0
"F4NPR",0,0
"F4RHi",0,0
"F6PA",0,0
"F6PP",0,0
"F6Pt6_2",1.31e-10,0
"F6Pt6_2pp",0,0
"FA100ACPHi",1e-11,0
"FA120ACPHi",0,0
"FA140ACPHi",0,0
"FA141ACPHi",0,0
"FA160ACPHi",0,0
"FA161ACPHi",0,0
"FA80ACPHi",0,0
"FACOAE100",0,0
"FACOAE120",0.0048719273,-0.00303586957951223
"FACOAE140",0,0
"FACOAE141",0,0
"FACOAE160",0.0079831672,-0.00497464115400093
"FACOAE161",0.0094057657,-0.00586114698576704
"FACOAE180",0,0
"FACOAE181",0,0
"FACOAE60",0,0
"FACOAE80",0,0
"FACOAL100t2pp",0,0
"FACOAL120t2pp",0,0
"FACOAL140",0,0
"FACOAL140_ISO",0,0
"FACOAL140t2pp",0,0
"FACOAL141t2pp",0,0
"FACOAL150_anteiso",0,0
"FACOAL150_ISO",0,0
"FACOAL160",0.0053409068,0.00332800147348728
"FACOAL160_ISO",0,0
"FACOAL160t2pp",0,0
"FACOAL161",0.0062966178,0.00392350806850031
"FACOAL161_ISO",0,0
"FACOAL161t2pp",0,0
"FACOAL170_anteiso",0,0
"FACOAL170_ISO",0,0
"FACOAL171_anteiso",0,0
"FACOAL171_ISO",0,0
"FACOAL180",0,0
"FACOAL180_2",1.27e-10,0
"FACOAL180t2pp",0,0
"FACOAL181",0,0
"FACOAL181t2pp",0,0
"FACOAL200",0,0
"FACOAL40It2pp",0,0
"FACOAL40t2pp",3.45e-10,0
"FACOAL50It2pp",0,0
"FACOAL50t2pp",0,0
"FACOAL60t2pp",2.81e-10,0
"FACOAL80",0,0
"FACOAL80t2pp",2.81e-10,0
"FACOALPHDCA",1e-11,0
"FACOALPREPH",0,0
"FADMQOR",0,0
"FADOX",1.19e-10,0
"FADRx",0.0451273096,-0.02812394519653
"FADRx2",0,0
"FAH4",0,0
"FALDDH",0,0
"FALDH2",0,0
"FALDtpp",4.32e-13,0
"FALGTHLs",0,0
"FAMPL1",0,0
"FAMPL2",0,0
"FAMPL3",0,0
"FAMPL4",0,0
"FAMPL5",0,0
"FAO1",0,0
"FAO10",0,0
"FAO11",0,0
"FAO2",0,0
"FAO3",0,0
"FAO4",0,0
"FAS100",0,0
"FAS120",0,0
"FAS140",0,0
"FAS160",0,0
"FAS161",0,0
"FAS180",0,0
"FAS181",0,0
"FAS200",0,0
"FAS240_L",0,0
"FAS260",0,0
"FAS80_L",0,0
"FASC120ACP",0,0
"FASC140ACP",0,0
"FASC141ACP",0,0
"FASC160ACP",0,0
"FASC161ACP",0,0
"FASC180ACP",0,0
"FASC181ACP",0,0
"FASC182ACP",0,0
"FASC200ACP",7.48e-10,0
"FASC201ACP",0,0
"FASC220ACP",7.48e-10,0
"FASC221ACP",7.48e-10,0
"FASC240ACP",0,0
"FASC300",0,0
"FASC320",0,0
"FASm1601",0,0
"FASm180",0,0
"FASm1801",0,0
"FASm2001",0,0
"FASm2002",0,0
"FASm220",0,0
"FASm2201",0,0
"FASm2202",0,0
"FASm240",0,0
"FASm2401",0,0
"FASm2402",0,0
"FASm260",0,0
"FASm2601",0,0
"FASm2602",0,0
"FASm280",0,0
"FASm2801",0,0
"FASm2802",0,0
"FASm300",0,0
"FASm3001",0,0
"FASm320",0,0
"FASm340",0,0
"FASPHDCA",0,0
"FBA",0,0
"FBA2",1e-11,0
"FBA3",0,0
"FBP",0,0
"FBPO",0,0
"FCI",0,0
"FCLK",0,0
"FCLPA",0,0
"FCLT2",0,0
"FCLT_2",2.33e-06,0
"FCOAH2",3.76e-10,0
"FCOAHA",0,0
"FDH",1e-11,0
"FDH2",3.76e-10,0
"FDH3",3.76e-10,0
"FDH4pp",0,0
"FDH4pp_1",0,0
"FDH5pp",5.93e-10,0
"FDH5pp_1",0,0
"FDH5r2pp",NA,0.981648964196749
"FDH6pp",0,0
"FDH7",0,0
"FDMO",5.93e-10,0
"FDMO1",0,0
"FDMO_1",0,0
"FDMO2",0,0
"FDMO2_1",0,0
"FDMO3",0,0
"FDMO3_1",1.12e-10,0
"FDMO4",0,0
"FDMO4_1",0,0
"FDMO5",1.22e-10,0
"FDMO5_1",0,0
"FDMO6",0,0
"FDMO6_1",0,0
"FDMOtau",0,0
"FE2abc",0,0
"FE2abcpp",0,0
"FE2Gabcpp",0,0
"FE2t",0,0
"FE2t2pp",0,0
"FE2t3pp",0,0
"FE2t4pp",0,0
"FE2tpp",8.62e-05,-5.37246454050747e-05
"FE3abc",0,0
"FE3abcpp",0.0022011348,-0.00137159325941812
"FE3DCITabcpp",0,0
"FE3DCITtonex",0,0
"FE3DHBZR",0,0
"FE3DHBZSabcpp",0,0
"FE3DHBZStonex",0,0
"FE3Gabcpp",0,0
"FE3HOXabcpp",1e-11,0
"FE3HOXexs",0,0
"FE3HOXR1",0,0
"FE3HOXR2",0,0
"FE3HOXR3",0,0
"FE3HOXtonex",0,0
"FE3HOXUtex",0,0
"FE3HOXUtpp",0,0
"FE3Ri",0,0
"FE3t",0.0003263121,0.000203333248739842
"FECRMabcpp",0,0
"FECRMexs",0,0
"FECRMR1",0,0
"FECRMR2",0,0
"FECRMR3",0,0
"FECRMtonex",0,0
"FECRMUtex",0,0
"FECRMUtpp",0,0
"FEDCabc",0,0
"FEDHBZS3R1",0,0
"FEDHBZS3R2",0,0
"FEDHBZS3R3",0,0
"FEENTER2tpp",0,0
"FEENTERabcpp",0,0
"FEENTERexs",0,0
"FEENTERR1",0,0
"FEENTERR2",0,0
"FEENTERR3",0,0
"FEENTERtex",0,0
"FEENTERtonex",0,0
"FEENTERtpp",0,0
"FEex",0,0
"FEOXAMabcpp",0,0
"FEOXAMexs",0,0
"FEOXAMR1",0,0
"FEOXAMR2",1.15e-10,0
"FEOXAMR3",0,0
"FEOXAMtonex",0,0
"FEOXAMUtex",0,0
"FEOXAMUtpp",0,0
"FEpp",0,0
"FERCYT",0,0
"FERIRDe",0,0
"FEROpp",0,0
"FEROXBFEabcpp",0,0
"FEROXBFER1",0,0
"FEROXBFER2",0,0
"FEROXBFER3",0,0
"FEROXBtpp",1e-11,0
"FEROXEFEabcpp",0,0
"FEROXEFER1",0,0
"FEROXEFER2",0,0
"FEROXEFER3",0,0
"FEROXEtpp",0,0
"FEROXGFEabcpp",0,0
"FEROXGFER1",0,0
"FEROXGFER2",0,0
"FEROXGFER3",0,0
"FEROXGFEtonex",0,0
"FEROXGtpp",0,0
"FERRICHabc",0,0
"FERtex",0,0
"FERtpp",0,0
"FERULCOAS",0,0
"FERXAabc",0,0
"FESD1s",0,0
"FESD2s",0,0
"FESR",0,0
"FETRANS",0,0
"FFSD",0,0
"FFSD1r",0,0
"FGLU",0,0
"FGLU_1",0,0
"FLDR",0,0
"FLDR2",0,0
"FLVR",0,0
"FLVR_1",0,0
"FLVRx",0,0
"FMETDF",0,0
"FMETTRS",0,0
"FMETTRS_1",0,0
"FMFD_b",0,0
"FMFTSPFT_b",0,0
"FMNRx",0,0
"FMNRx2",2.67e-10,0
"FMNRy",0,0
"FNOR",0,0
"FOAMtrpp",1e-11,0
"FOLD3",0,0
"FOLR2",0,0
"FOLt",0,0
"FOMETRi",0,0
"FORAMD",1e-11,0
"FORCT",0,0
"FORGLUIH",0,0
"FORMCOAL",0,0
"FORt",0,NA
"FORt2",3.76e-10,0
"FORt2pp",0,0
"FORt3",0,0
"FORti",0,0
"FPGS_tm",0,0
"FQR",0,0
"FRD",0,0
"FRD2",1e-11,0
"FRD2rpp",0.0069243596,0.00431465357361257
"FRD3",0,0
"FRD5",0,0
"FRD7",0,0
"FRDO",0,0
"FRDO2r",0,0
"FRDO3r",0,0
"FRDPPCR2",0,0
"FRNDPR2r",0,0
"FRNDPR2r_1",0,0
"FRRPPDIMAS",0,0
"FRTT",0,0
"FRTT2",0,0
"FRUabc",0,0
"FRUK",1e-11,0
"FRULYSDG",0,0
"FRULYSE",0,0
"FRULYSK",0,0
"FRULYSt2pp",0,0
"FRUpts",0,0
"FRUpts2",0,0
"FRUpts2pp",0,0
"FRUptspp",0,0
"FRUt3",0,0
"FRUURt2rpp",0,0
"FTCD",1e-11,0
"FTHFCL",0,0
"FTHFD",0,0
"FTHFLi",0,0
"FTR",0,0
"FUCASE",0,0
"FUCASE2",0,0
"FUCPt6_2",0,0
"FUCt",0,0
"FUCtpp",0,0
"FUM",0.2802699274,-0.0138124620857496
"FUMAC",0,0
"FUMt2_2",0,0
"FUMt2_2pp",0,0
"FUMt2_3",0,0
"FUMt2_3pp",0,0
"FUMt2r",0,0
"FUMt3",1e-11,0
"FUMtpp",0,0
"FUSAtpp",0,0
"FUTH",0,0
"FUTS",0,0
"G16MTM1",0,0
"G16MTM10",0,0
"G16MTM2",0,0
"G16MTM4",0,0
"G16MTM5",0,0
"G16MTM6",0,0
"G16MTM7",0,0
"G16MTM8",0,0
"G16MTM9",0,0
"G1Dx",0,0
"G1PCTYT",0,0
"G1PDH",0,0
"G1PP",0,0
"G1PPDM",0,0
"G1PPpp",0,0
"G1Pt6_2",0,0
"G1PTT",0,0
"G2PP",4.9e-10,0
"G2PPpp",0,0
"G3PAT120",0,0
"G3PAT140",0,0
"G3PAT141",0,0
"G3PAT160",0,0
"G3PAT161",0,0
"G3PAT180",0,0
"G3PAT181",0,0
"G3PAT181_9",0,0
"G3PAT182_9_12",0,0
"G3PAT183_6_9_12",0,0
"G3PAT183_9_12_15",0,0
"G3PAT184_6_9_12_15",0,0
"G3PAT190",0,0
"G3PCabcpp",0,0
"G3PCT",0,0
"G3PD2_1",0,0
"G3PD4",0,0
"G3PD5",0,0
"G3PD6",1e-11,0
"G3PD7",0,0
"G3PEabcpp",0,0
"G3PGabcpp",0,0
"G3PIabcpp",0,0
"G3POA_BS",1e-11,0
"G3PSabcpp",0,0
"G3PT",2.26e-10,0
"G5SD",0.009215025,-0.0057422846764572
"G5SD2",0.0046244191,0.00288155338016673
"G6PBDH",0,0
"G6PDA",0,0
"G6PDH1",0,0
"G6PDH2r",0,0
"G6PDH3",1.41e-11,0
"G6PI",0,0
"G6PI3",0,0
"G6PP",1e-11,0
"G6Pt6_2",0,0
"G6Pt6_2pp",0,0
"GADktpp",0,0
"GADOX",0,0
"GAL1PPpp",0,0
"GAL6PI",0,0
"GALabc",0,0
"GALabcpp",0,0
"GALAM6PISO",0,0
"GALAMPTSpp",0,0
"GALCTD",1e-11,0
"GALCTD_1",0,0
"GALCTLO",0,0
"GALCTND",0,0
"GALCTNLt2pp",0,0
"GALCTNt2pp",0,0
"GALCTNt2r",0,0
"GALCTRt2",0,0
"GALCTt2r",0,0
"GALCTt2rpp",0,0
"GALFT",0,0
"GALKr",0,0
"GALM1",0,0
"GALM2",0,0
"GALM2pp",0,0
"GALMAN4",0,0
"GALMAN4abc",0,0
"GALMAN6",0,0
"GALMAN600a_e",0,0
"GALMAN600b_e",0,0
"GALMAN600c_e",0,0
"GALMAN6abc",0,0
"GalMr",0,0
"GALR1TRA1",0,0
"GALR1TRA2",0,0
"GALR1TRB1",0,0
"GALR1TRB2",0,0
"GALS1",0,0
"GALS2",0,0
"GALS3",0,0
"GALS4",0,0
"GALT",0,0
"GALT1",0,0
"GALt2",0,0
"GALt2pp",0,0
"GALTpts",0,0
"GALTptspp",0,0
"GALUi",0,0
"GALURt2r",0,0
"GALURt2rpp",1e-11,0
"GAM6Pt",0,0
"GAM6Pt6_2pp",0,0
"GAMpts",0,0
"GAMptspp",0,0
"GAPDi_nadp",0,0
"GARFT",0.0140128513,-0.0087321503750009
"GART",1.15e-10,0
"GAt1",0,0
"GAt2pp",0,0
"GBBTNabc",0,0
"GBEZY",0,0
"GCALDt",0.0002559904,0
"GCATENEC",0,0
"GCC2",0,0
"GCCa",0,0
"GCCb",0,0
"GCCc",0,0
"GDBTALDH",0,0
"GDH1",0,0
"GDMANE",0,0
"GDPDPK",0,0
"GDPMNH",0,0
"GDPMNP",0,0
"GDPTPDP",0,0
"GF4GL_0",0,0
"GF4GL_1",0,0
"GF4GL_2",0,0
"GF4GL_3",0,0
"GF4GL_4",0,0
"GF4GL_5",0,0
"GF4GL_6",0,0
"GFUCS",0,0
"GGDPR",0,0
"GGGABADr",0,0
"GGGABAH",0,0
"GGGPS",1e-11,0
"GGLUCT2",0,0
"GGPP",0,0
"GGPS",2.26e-10,0
"GGPTRCO",0,0
"GGPTRCS",0,0
"GGTAe2",0,0
"GGTT",1e-11,0
"GHBDHx",0,0
"GHMT2r",0.7702178434,-0.0473822708406546
"GK2",0,0
"GK_adp",0,0
"GLA",0,0
"GLBRAN2",0,0
"GLCAASE3",0,0
"GLCabc",0,0
"GLCabcpp",0,0
"GLCATr",0,0
"GLCDe",0,0
"GLCDpp",0,0
"GLCGLYCabcpp_syn",0,0
"GLCGSD",0,0
"GLCMAN4",0,0
"GLCMAN4abc",0,0
"GLCMAN6",0,0
"GLCMAN600a_e",1e-11,0
"GLCMAN600b_e",0,0
"GLCMAN600c_e",0,0
"GLCMAN6abc",0,0
"GLCNt2ir",0,0
"GLCNt2r",0,0
"GLCNt2rpp",0,0
"GLCOAS",1e-11,0
"GLCOASYNT",0,0
"GLCP",0,0
"GLCP2",0,0
"GLCPcom_SA",0,0
"GLCpts",0,0
"GLCptspp",0.4325895757,-0.269953271552476
"GLCR1TRA1",0,0
"GLCR1TRB1",0,0
"GLCRAL",0,0
"GLCRAL_1",0,0
"GLCRD",0,0
"GLCRD_1",0,0
"GLCRt2r",0,0
"GLCRt2rpp",0,0
"GLCS1",0,0
"GLCS2",0,0
"GLCt2",0,0
"GLCt2pp",0,0
"GLCtex_copy1",0,0
"GLCtex_copy2",0,0
"GLCTR1",0,0
"GLCTR2",0,0
"GLCTR3",0,0
"GLCTR4",0,0
"GLCTR4N",0,0
"GLCURS1",0,0
"GLCURT",0,0
"GLCURt2r",1.31e-10,0
"GLCURt2rpp",0,0
"GLDBRAN2",0,0
"GLGC",0,0
"GLMS_syn",0,0
"GLNabc",0,0
"GLNabcpp",0,0
"GLNSP1",0,0
"GLNSP2",0,0
"GLNSP3",0,0
"GLNTRAT",0,0
"GLNTRS",0,0
"GLS",0,0
"GLS2",0,0
"GLS2e",0,0
"GLS3e",0,0
"GLSe",0,0
"GLTPD",0,0
"GLU5K",0.009215025,-0.0057422846764572
"GLUabc",0,0
"GLUabcpp",0,0
"GLUABUTt7",0,0
"GLUABUTt7pp",0,0
"GLUCAN2abc",0,0
"GLUCANabc",0,0
"GLUCYS",0,0
"GLUDC",0,0
"GLU_Dt2",0,0
"GLUDxi",0,0
"GLUDy",0.3245958049,-0.20246885147798
"GLUDyi",0,0
"GLUFORT",0,0
"GLUFT",0,0
"GLUK_syn",0,0
"GLUN",0,0
"GLUNpp",0,0
"GLUS_F420",0,0
"GLUSx",0,0
"GLUSy",0,0
"GLUSz",0,0
"GLUt2r",0,0
"GLUt2rpp",0,0
"GLUt4",0,0
"GLUt4pp",0,0
"GLUTCOADHc",1.41e-11,0
"GLUTRS_Gln",0,0
"GLXCBL",0,0
"GLXCL",0,0
"GLXO1",0,0
"GLXO3r",0,0
"GLXt2",0,0
"GLY3Pt2",0,0
"GLYabc",0,0
"GLYabcpp",0,0
"GLYALDDr",0,0
"GLYALDt",0,0
"GLYALDtpp",0,0
"GLYAT",0,0
"GLYATi",0,0
"GLYBabc",0,0
"GLYBabcpp",0,0
"GLYBt2pp",1e-11,0
"GLYBt2r",0,0
"GLYC2Pabcpp",0,0
"GLYC3Pabc",0,0
"GLYC3Pabcpp",0,0
"GLYC3Pt6",0,0
"GLYC3Pt6pp",0,0
"GLYCAt2rpp",0,0
"GLYCDH",0,0
"GLYCDx",1.06e-10,0
"GLYCK",0,0
"GLYCK2",0,0
"GLYCL",0,0
"GLYCL_2",1.2790298054,0.0554064248203487
"GLYCLTDx",0,0
"GLYCLTDy",0,0
"GLYCLTt2r",0,0
"GLYCLTt2rpp",0.0002617885,-2.39527785178327e-05
"GLYCLTt4pp",0,0
"GLYCOe",0,0
"GLYCOGENt",0,0
"GLYCt",0,0
"GLYCt1",0,0
